City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Minas,UY,79.0,scattered clouds,-34.3759,-55.2377,Hotel Minas
565,Luwuk,ID,77.63,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
566,Copiapo,CL,73.4,clear sky,-27.3667,-70.3333,San Francisco de La Selva
568,Maputo,MZ,75.2,clear sky,-25.9653,32.5892,Pestana Rovuma
569,Saquisili,EC,51.8,light rain,-0.8333,-78.6667,Hosteria gilocarmelo
572,Voghera,IT,55.99,clear sky,44.9947,9.0086,Emilia B&B
573,Yeppoon,AU,73.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
578,Kerema,PG,77.92,broken clouds,-7.9631,145.7785,Frena Lodge
581,San Carlos De Bariloche,AR,75.99,clear sky,-41.1456,-71.3082,Hotel Patagonia
583,Palkan,PH,69.93,overcast clouds,6.2964,125.0317,CAMP Zz
585,Lucapa,AO,70.63,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
586,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
